"","CEB01","CEB02","CEB04","CEB05","CEB06","CEB07","CEB08","CEB09","CEB10","CEB11","CEB12","CEB13","CEB14","CEB16","CEB18","CEB19","CEB21","CEB22","CEB23","CEB24","CEB25","CEB26","CEB27","CEB29","CEB32","CEB33","CEB35","LEY01","LEY02","LEY04","LEY05","LEY06","LEY07","LEY11","LEY13","LEY15"
"CEB33",0.00272444107614432,-0.00163462680966042,0.0186581608163139,0.00773285468468421,0.0112029073662003,0.00544395628203651,0.00383512764438151,0.00202326990369,0.007385876377163,0.00386077132028822,-0.00783056979574283,0.00218592886362929,0.00325474462791082,-0.00172452572282135,0.0178550365074653,0.00268682561611937,0.0378996432531093,0.016169068710624,0.0264935853640021,0.0145700495025186,-0.00238042119902521,0.00749072732103886,0.0069041221095311,0.0111794942719499,0.0305999397045523,NA,0.00767376867734103,0.0100473443042214,0.016521685673009,0.00707303156459947,0.00442939916584156,0.00237047626123044,0.0541436949502493,-0.000760086563754823,0.000117542048744117,0.028547503045067
"CEB35",-0.00316120629272327,0.00273550454690036,-0.0162506898877782,-0.00168934895499156,-0.0117438043903761,0.0101836424294227,-0.000128280545503938,0.0115496142025012,0.00443928083691585,-0.00428523860748034,-0.00421949824198284,-0.0169955514999429,-0.00755511038245026,-0.00467783162871493,0.00860144023020446,-0.000669054845328051,0.023468334224227,0.00174686571977589,-0.00272268180428018,0.00881127133799898,-0.011938947214398,0.00138414806000065,-0.00367240115686134,-0.017569313776609,-0.00688571214729433,0.00767376867734103,NA,-0.0203203263249452,-0.00964770791564282,0.00106348301968473,0.00456860295318066,0.00470463845262027,-0.0457805939857778,-0.00024193596817075,-0.00180021764450329,-0.0145524457987887
"LEY01",-0.0179933414043583,0.00857017286844423,0,-0.00278385819865301,0,-0.00703771918003082,-0.010020806560186,0.0048915145494119,0.00147383935151073,-0.0108191891485148,0,0,-0.0238677636943147,0.00784374038757306,-0.00860907321455305,-5.93515839453498e-05,0,-0.0114872109051922,0,0.012230266394883,-0.0194100565489836,-0.00182038834951456,-0.0210125618576322,0,0,0.0100473443042214,-0.0203203263249452,NA,0,-0.00230114420362157,-0.00812681981352465,-0.0113087831621801,0,-0.00658641835112419,-0.00592235139284923,0
"LEY02",-0.0134316284323152,0.00593226702710826,0,0.00210302512075069,0,-0.0229781186520533,-0.00739284248987836,-0.000658838119598472,0.015090392947856,-0.00544647504002811,-0.0305396096440873,0,-0.00997543363358886,0.0143766203158143,-0.00569225398078292,-0.0138529526251917,0,-0.0128236148076458,0,-0.00320582877959923,-0.00767784393607016,-0.027906976744186,-0.0205080400838965,0,0,0.016521685673009,-0.00964770791564282,0,NA,0.00165036785887213,0.00470036403606622,-0.00353589837869983,0,0.00693439000228612,-0.00753219032409141,0
"LEY04",-0.00128941013341259,-0.00194226315169584,-0.00282604190055099,-0.00588311484332905,-0.0090402066578767,0.00638688123748223,0.00341505418351034,0.00328617776036774,0.00197939806035224,-0.00048437682971161,-0.000966367553906416,-0.00579120632896124,0.00162746959916153,-0.000546202108784557,0.0107381381602137,0.000141572376522652,0.0290950059924758,0.00859276946361565,0.0173244270645397,0.00596779978784095,-0.0017607797053825,-0.00237321919487632,-0.00075685189019969,-0.0134314295017628,0.0138069885770125,0.00707303156459947,0.00106348301968473,-0.00230114420362157,0.00165036785887213,NA,-0.00109936488014631,-0.000632686339874489,0.031657883693571,-0.0162062486249501,0.00106951685850248,0.00821789975905353
"LEY05",0.00107666861748751,-0.00945240208791532,-0.00376585630977015,-0.00178097208246475,-0.00722721470204371,0.0011620356726213,-8.15510552267082e-05,-0.000117908859081114,-0.00106530159737451,-0.00421432094126895,-0.00413091834257717,-0.0227363570101808,-0.00091862744017246,0.00624581958934449,0.0120598536311925,0.00143806249572836,0.0275355393620834,-0.00746513206330243,0.0114355851553485,0.00970584641349619,-0.00972184232550707,7.31834565324325e-06,-0.00189506641944064,-0.0132493673302939,0.0058335293014828,0.00442939916584156,0.00456860295318066,-0.00812681981352465,0.00470036403606622,-0.00109936488014631,NA,-0.00127004535890198,0.0455979000926125,-0.00360857961923714,-0.00391913376854155,-0.00361071975733501
"LEY06",0.00246836293860534,-0.00585296429652589,-0.00288365564636126,-0.00175359965016951,-0.00460586681323906,0.00673476649434756,-6.104005285054e-05,0.00115821152288995,-0.00260638090353794,0.00187874009922978,-0.00270816335545405,-0.0168322638354675,0.00271855956107457,-0.0079917199432768,0.00788462317909349,0.0016118569796539,0.0180857275419957,0.00611441250537866,0.00549965080264395,0.00644496069053796,-0.00834470910398769,0.00442484381854217,0.00113702958979578,-0.0186482924558897,0.0154987325548049,0.00237047626123044,0.00470463845262027,-0.0113087831621801,-0.00353589837869983,-0.000632686339874489,-0.00127004535890198,NA,0.0372792453676675,-0.000674502301678956,-0.0033105322525032,0.00918897220160236
"LEY07",0.0218009340125267,0.0385526599181564,0,0.0383788717465552,0,0.0384163948355692,0.0346328622479743,0.0575294517526415,0.0360132794457275,0.0379062605471867,0.0295933574622099,0,0.0289865343727853,0.0725947521865889,0.0381043362088161,0.0339429354687444,0,0.0200943827066525,0,0.044455165759184,0.0319336367640582,0.0324861878453039,0.03056609279253,0,0,0.0541436949502493,-0.0457805939857778,0,0,0.031657883693571,0.0455979000926125,0.0372792453676675,NA,0.0420669577874819,0.0305510933110344,0
"LEY11",-0.00416410780466752,0.00167958526778107,-0.0103415857098088,0.00330192662117236,-0.00616190402834472,-0.00301842316193518,-0.00230150037648813,0.00612310731779972,0.0085131574558917,-0.00258330607506876,0.000487998978956018,-0.024200518582541,-0.00549029045892808,-0.00862999294381335,0.00495629401506099,-0.00157547952387439,0.0150558892859859,0.00252824931634079,0.0134777012190505,0.00287631361854944,-0.00668107161131673,-0.00104275286757035,-0.00874501354535852,-0.0174351026733824,-0.00413412953605874,-0.000760086563754823,-0.00024193596817075,-0.00658641835112419,0.00693439000228612,-0.0162062486249501,-0.00360857961923714,-0.000674502301678956,0.0420669577874819,NA,-0.0039143441278269,0.0146712276700875
"LEY13",-0.00449937415003065,-0.00676170972356615,-0.00129923045580687,-0.00699488309811618,-0.00821355236139625,0.00310100954111548,-0.00410299781623226,-0.00538774361896276,-0.00288598788565508,-0.00154699009395115,-0.0069462724063316,-0.0196264591439688,-0.00967329996348329,-0.00436691439118423,0.00704225870565841,-0.00949516530901451,0.0199563852189358,-0.00746110826669234,0.0119097807757167,-0.00386440779803806,-0.00324646116793686,-0.00218639807835653,-0.0132675682162003,-0.0204483137886697,-0.00114838503601054,0.000117542048744117,-0.00180021764450329,-0.00592235139284923,-0.00753219032409141,0.00106951685850248,-0.00391913376854155,-0.0033105322525032,0.0305510933110344,-0.0039143441278269,NA,0.000953317927715692
"LEY15",-0.00598456771371278,0.0149253731343284,0,-0.00878891005026689,0,-0.00548479492961178,0.00997775076266717,0.0137567921766388,0.0141636690647482,0.00442252139673122,-0.009694145938228,0,-0.00686106346483699,0.019774011299435,0.00659804697809451,0.000573403147681532,0,-0.0113505510774798,0,0.00846721667390364,0.00177455443252838,-0.0165005978477481,0.00258653480410807,0,0,0.028547503045067,-0.0145524457987887,0,0,0.00821789975905353,-0.00361071975733501,0.00918897220160236,0,0.0146712276700875,0.000953317927715692,NA
