"","CEB01","CEB02","CEB04","CEB05","CEB06","CEB07","CEB08","CEB09","CEB10","CEB11","CEB12","CEB13","CEB14","CEB16","CEB18","CEB19","CEB22","CEB23","CEB24","CEB25","CEB26","CEB27","CEB29","CEB32","CEB33","CEB35","LEY01","LEY02","LEY04","LEY05","LEY06","LEY07","LEY11","LEY13","LEY15"
"CEB26",0.0362988944315579,-0.10873440285205,-0.0543130990415335,0.0522906782977437,-0.0927152317880795,0.0661972725284494,0.0634671068077205,0.0782937836657447,0.0780958834490937,0.104250270252876,-0.0131147540983607,-0.03125,0.0875778673506779,-0.161870503597122,0.0596566027750551,0.0830582303037788,-0.10738255033557,-0.0280373831775701,0.108080463689056,0.029087146470453,NA,0.0388517408346784,-0.126279863481229,-0.145833333333333,0.0331131232125702,0.0177886585481177,-0.10738255033557,-0.0927152317880795,0.0788568575899787,0.0445265945944552,0.0607728059086763,-0.126279863481229,0.0831714840626071,-0.0630293956473496,-0.0645161290322581
"CEB27",0.0213654754897013,0.0260733189570673,0.0792540792540793,0.0236242358455198,-0.0286458333333333,0.049348306290261,0.0277427044121638,0.0409698896568566,0.136698212407992,0.0288841379476023,-0.01339405304045,0.00378310214375789,0.0381391450125734,0.0381565906838454,-0.0147858032000486,0.0657297838935863,-0.0246433203631647,0.0365853658536585,0.00773495790266275,-0.030728476821192,0.0388517408346784,NA,-0.0340314136125654,0.0125,0.0671736065017175,-0.0398048750772476,-0.0394736842105263,0.0961098398169337,0.0107055720928945,-0.000380920530540738,0.0215247300662513,0.00252525252525254,0.0430369989722508,0.0204378065454833,0.0365853658536586
"CEB29",-0.00538929021901146,-0.00483091787439614,NA,-0.0261225472493077,NA,0.0195627157652474,-0.0444711538461538,-0.0104358502148557,0.0511627906976744,-0.032030401737242,-0.00740740740740741,NA,0.0977443609022556,-0.0171821305841924,0.0214285714285715,0.0697218478127682,NA,NA,0.115789473684211,0.0023201856148492,-0.126279863481229,-0.0340314136125654,NA,NA,0.00765155974102417,-0.104761904761905,NA,NA,-0.000103337811305186,0.0156062424969989,-0.0498236578995014,NA,0.102272727272727,-0.0504697400043696,NA
"CEB32",-0.0864931846344484,-0.00483091787439614,NA,0.000586235197561346,NA,-0.0643347907557776,-0.035756853396901,-0.0633074935400516,0.0377358490566038,-0.0581686612858335,-0.138075313807531,NA,0.0697674418604651,-0.034965034965035,-0.0294301815904821,-0.0578236031768147,NA,NA,0.0381679389312977,-0.116883116883117,-0.145833333333333,0.0125,NA,NA,-0.131543624161074,-0.193569131832797,NA,NA,-0.0230083506571298,-0.108407677750743,-0.043999410364942,NA,0.00878293601003765,-0.0746535538667858,NA
"CEB33",-0.0150181909261561,-0.0213278466402368,-0.0156626506024096,0.0359832342997741,0.00589622641509438,-0.00117456729384127,0.00269316403021789,0.00867914829679129,0.0505742596912282,0.0149550950231923,-0.0175613128409196,-0.0697969543147208,0.0267154508104573,0.0483279387597228,0.0504282575177771,-0.0164537185086967,0.0214741729541498,0.103191489361702,0.0089542209155817,0.00610272517410433,0.0331131232125702,0.0671736065017175,0.00765155974102417,-0.131543624161074,NA,-0.0126072702536526,-0.110671936758893,0.0282420749279539,0.0164748993558138,-0.0134727239572577,0.022002564140692,-0.0933852140077821,0.0200823004706404,0.0164166107235563,0.0315910396323952
"CEB35",0.00706091905158102,-0.0421490884930354,-0.0605714285714285,0.00891787553292399,-0.0975753991720875,0.0237503247963022,-0.0165339749267077,-0.0242917391116336,0.0453837592287413,0.0243121176433796,-0.0599422134475325,-0.0969267139479905,0.0445630981356645,0.0257141481517146,-0.025553216267663,0.0288674779626903,-0.0316842690383546,0.00695559122525417,0.0150485817549313,-0.0458634633051303,0.0177886585481177,-0.0398048750772476,-0.104761904761905,-0.193569131832797,-0.0126072702536526,NA,-0.118072289156626,0.0318205529473135,0.0179241228157825,0.00127125384562763,0.0150923369980416,-0.133089133089133,0.0482992328042528,-0.0125379421976061,0.00801710315339394
"LEY01",-0.0123542316129776,-0.130434782608696,NA,-0.0197392032539777,NA,-0.0148898153662894,-0.0993042378241619,-0.109912339851652,0.0274135876042908,0.00989583333333343,-0.0967741935483871,NA,0.0954773869346734,-0.0571428571428571,-0.0545221295702373,-0.0137535051408731,NA,NA,-0.0723404255319149,-0.00233100233100232,-0.10738255033557,-0.0394736842105263,NA,NA,-0.110671936758893,-0.118072289156626,NA,NA,-0.000827300930713576,-0.0904255319148935,-0.058854749841283,NA,0.0161892901618929,-0.111933395004625,NA
"LEY02",0.000228050171037741,-0.0246305418719212,NA,0.0770896491987874,NA,0.0491071428571429,0.0197405527354766,0.074761101742552,0.115926327193933,0.102031176192726,0.0320284697508897,NA,0.115479115479115,0.0166112956810631,0.102129983615511,0.086621751684312,NA,NA,0.107438016528926,0.0497237569060774,-0.0927152317880795,0.0961098398169337,NA,NA,0.0282420749279539,0.0318205529473135,NA,NA,0.0556513254187673,0.053664166185805,0.0570764107911538,NA,0.106334841628959,-0.054848617814831,NA
"LEY04",0.0156706392678491,-0.00966421266988443,0.0236734144865155,0.0260425190291714,0.00792728763753158,0.0340423202921201,0.0319034241652041,0.0203558968264193,0.0912425175402014,0.0227843427044637,-0.0140159848010597,-0.0156720072762891,-0.01894476499289,0.026024274047062,0.0447605510074278,0.0388423355545657,0.0455621301775148,-0.0167390390811038,0.0292595505599444,0.00749852128141314,0.0788568575899787,0.0107055720928945,-0.000103337811305186,-0.0230083506571298,0.0164748993558138,0.0179241228157825,-0.000827300930713576,0.0556513254187673,NA,-0.0149045579182929,0.0251388292259559,-0.0440504872523284,0.0347410419178861,0.0189119091321499,0.0546058415551431
"LEY05",0.00779844864235539,-0.0430695929159361,0.0177287973167227,0.0104930672447442,-0.0298919869379552,0.0218469666951862,0.0242973396992763,0.0132123629062883,0.0819437028191604,-0.0196405740450025,-0.0446404421085011,0.0522422561257514,-0.00781825748885933,0.0447400049145578,0.0363774581954148,0.00856188584191479,0.0299302022950433,0.0431738623103851,-0.0108028209348506,-0.00370210088546595,0.0445265945944552,-0.000380920530540738,0.0156062424969989,-0.108407677750743,-0.0134727239572577,0.00127125384562763,-0.0904255319148935,0.053664166185805,-0.0149045579182929,NA,-0.00491952144609632,-0.118995633187773,0.0375917530790645,0.0123733437506416,0.0256653992395438
"LEY06",0.0247027405609232,-0.0407017886549695,0.0427917447825659,0.0283538619739507,-0.0140355326834417,0.0474766175026408,0.0353366519862347,0.0286500465243912,0.0530211399329309,0.0201854229526397,-0.0120349405184863,0.0235686057859435,0.0147199933838955,0.036635672275171,0.0401530584930318,0.0359005141341546,-4.23606586477222e-05,0.0238074961393981,0.0191445616069859,-0.0176240269939689,0.0607728059086763,0.0215247300662513,-0.0498236578995014,-0.043999410364942,0.022002564140692,0.0150923369980416,-0.058854749841283,0.0570764107911538,0.0251388292259559,-0.00491952144609632,NA,-0.0580367170522638,0.0531578751265457,0.0122885432423473,0.0660407793794409
"LEY07",-0.0449290906924084,-0.0348258706467662,NA,-0.0204716868191068,NA,-0.00888099467140317,-0.0558930741190765,-0.0365239294710327,0.0706150341685649,-0.0187566988210074,-0.105691056910569,NA,0.04,-0.0685920577617329,-0.0478011472275334,0.0222794591113975,NA,NA,0.00657030223390277,-0.0141509433962264,-0.126279863481229,0.00252525252525254,NA,NA,-0.0933852140077821,-0.133089133089133,NA,NA,-0.0440504872523284,-0.118995633187773,-0.0580367170522638,NA,0.0606420927467301,-0.0967153284671532,NA
"LEY11",0.0215338234370476,0.0491740299654245,0.0470446320868516,0.0884699366860581,-0.029986962190352,0.0434926409789979,0.0567353052339824,0.0600500041777269,0.0429302875147696,0.0540543481099148,0.0904892661008488,0.0824622531939605,0.0425889604931353,0.0335859905906953,0.031104600145508,0.00209095073719493,0.0412621359223301,0.0738569753810082,0.0400651908189597,0.0502416687865683,0.0831714840626071,0.0430369989722508,0.102272727272727,0.00878293601003765,0.0200823004706404,0.0482992328042528,0.0161892901618929,0.106334841628959,0.0347410419178861,0.0375917530790645,0.0531578751265457,0.0606420927467301,NA,0.0188402557794951,0.0738569753810082
"LEY13",-0.00703370096686378,-0.117238792906517,-0.0364302651433498,0.0206206902516442,-0.0757355408882424,0.022338825607612,0.0153043753682151,-0.00659021696159017,0.0133220480337406,0.0333591995557617,-0.0524345373927101,-0.0623066725585505,0.00263232619356424,-0.080870497929644,-0.00959435146817811,0.0294410922479035,-0.0701090585354996,-0.0572842221000549,0.00694203657663907,-0.0175860763899892,-0.0630293956473496,0.0204378065454833,-0.0504697400043696,-0.0746535538667858,0.0164166107235563,-0.0125379421976061,-0.111933395004625,-0.054848617814831,0.0189119091321499,0.0123733437506416,0.0122885432423473,-0.0967153284671532,0.0188402557794951,NA,-0.00407225644773928
"LEY15",-0.0516972532085881,-0.0196078431372549,NA,0.0620598591549296,NA,-0.0197486535008976,-0.0169689877121123,0.0507497116493657,0.112078346028292,0.121534195933457,0.111111111111111,NA,0.150943396226415,0.00671140939597315,0.0971993410214168,0.112462006079027,NA,NA,0.13203214695752,0.0570175438596491,-0.0645161290322581,0.0365853658536586,NA,NA,0.0315910396323952,0.00801710315339394,NA,NA,0.0546058415551431,0.0256653992395438,0.0660407793794409,NA,0.0738569753810082,-0.00407225644773928,NA
